leaf_count,mean_area,total_area,mean_length,mean_width,image_id,actual_yield
50,250.46320000000003,12523.160000000002,18.38,12.936000000000002,00333207f,127.41101543514593
32,323.3575000000001,10347.440000000002,22.64375,13.475,005b0d8bb,95.38251112578828
33,421.5769696969698,13912.040000000005,24.721212121212123,16.315151515151513,006a994f7,140.1746717880254
43,274.40000000000003,11799.200000000004,19.76744186046512,13.409302325581397,00764ad5d,126.15665645194808
3,210.01333333333332,630.0400000000001,15.666666666666666,13.4,00b5c6764,2.6170539353577436
28,279.9257142857144,7837.920000000002,22.192857142857143,12.007142857142858,00b5fefed,74.83427153876461
8,257.68500000000006,2061.4800000000005,17.875,14.25,00b70a919,19.67473361363829
46,223.13130434782616,10264.040000000005,16.973913043478262,11.682608695652174,00e903abe,95.67939544793549
67,135.66447761194033,9089.520000000002,13.579104477611942,9.826865671641793,00ea5e5ee,90.32826145975805
44,328.669090909091,14461.440000000002,22.404545454545456,13.704545454545457,010b216d4,140.59114517623553
26,357.7138461538462,9300.56,22.95384615384616,15.038461538461538,010c93b99,97.45645632973596
72,178.23000000000005,12832.560000000003,15.127777777777778,11.155555555555557,010dbcc8f,134.07682453674116
24,282.6983333333334,6784.760000000001,18.366666666666667,14.541666666666666,0114c88aa,70.09283487801592
49,221.4979591836735,10853.4,16.571428571428573,12.60408163265306,01189a3c3,114.43786324534834
43,199.726511627907,8588.240000000002,16.6046511627907,11.469767441860466,0126b7d11,84.89631702976435
30,236.72000000000008,7101.600000000001,17.71333333333333,13.133333333333333,013669953,68.61091458016102
15,225.832,3387.4800000000005,17.42666666666667,12.866666666666667,01397a84c,41.85530274116135
56,278.74500000000006,15609.720000000005,19.117857142857144,14.042857142857144,013fd7d80,154.4839287438083
63,202.10857142857145,12732.840000000002,16.03174603174603,12.307936507936509,015939012,119.18965935124052
81,137.07259259259263,11102.880000000005,13.08395061728395,9.99506172839506,0172359d2,104.4113785173154
37,231.4043243243244,8561.960000000001,17.118918918918922,13.34054054054054,019d1c76a,86.44150117158637
39,336.00512820512824,13104.200000000004,22.153846153846157,14.574358974358974,01e2c61d9,133.77319951213207
38,339.1442105263159,12887.480000000003,21.863157894736844,14.457894736842103,01f37f1d3,132.77610953320644
23,255.2469565217392,5870.680000000001,18.791304347826088,13.182608695652176,025ea7326,46.89489818262223
76,167.0547368421053,12696.160000000003,15.257894736842108,10.181578947368422,02640d9da,124.75351516615724
118,202.90677966101697,23943.000000000004,17.945762711864408,10.616949152542375,026b6f389,230.01038653853692
21,364.8228571428572,7661.280000000002,21.742857142857144,15.828571428571433,027086635,69.31208615805419
24,188.3983333333333,4521.56,14.658333333333331,12.358333333333334,02992044c,50.96112294053648
56,265.3242857142858,14858.160000000003,19.478571428571428,13.110714285714286,029c79463,148.23166701291404
84,132.6619047619048,11143.600000000002,12.595238095238097,10.135714285714286,029e03e52,111.91712005697053
49,292.5208163265307,14333.520000000002,19.6,13.7265306122449,02b6f199c,154.26726821159133
117,223.71247863247868,26174.360000000004,17.88034188034188,11.856410256410255,02d662fa8,264.8781301101765
42,266.4342857142857,11190.240000000002,18.8,13.571428571428571,02e02e347,108.7655037566429
27,343.6562962962963,9278.72,22.6962962962963,14.31851851851852,02f0fe2ca,91.37854495025334
81,186.21679012345683,15083.560000000003,15.676543209876543,11.390123456790125,02fe8c28e,150.9287446470514
26,221.08615384615388,5748.240000000001,16.353846153846156,12.861538461538462,030314634,55.39059504154149
34,262.05529411764707,8909.880000000001,18.723529411764705,12.258823529411766,03173a1a5,93.97510129803265
20,290.88200000000006,5817.640000000001,20.03,14.170000000000002,031ed396f,63.14709927091794
51,288.3976470588236,14708.280000000002,19.19607843137255,14.48235294117647,034090252,155.19920630326368
28,201.42000000000004,5639.760000000001,15.414285714285716,12.485714285714286,03448724b,44.72065207759072
39,233.97435897435903,9125.000000000002,17.81025641025641,12.435897435897436,0352a6fff,105.47185537708089
86,122.26418604651164,10514.72,13.823255813953487,8.625581395348838,035bdc07a,102.07447941231811
104,161.6015384615385,16806.560000000005,15.240384615384617,9.85,036cbd683,168.43406439578698
59,175.76338983050852,10370.040000000005,14.972881355932206,11.128813559322037,037024e13,98.41039924707516
59,433.08271186440686,25551.880000000005,24.42033898305085,16.393220338983053,037d96952,244.15447423096873
102,157.9674509803922,16112.680000000004,15.127450980392156,9.654901960784317,038432e90,159.42078168012256
59,190.81152542372885,11257.880000000005,15.667796610169493,11.610169491525424,03a177626,117.49777296125845
91,167.23076923076928,15218.000000000004,14.44835164835165,10.742857142857144,03a242bd2,164.37142779674863
93,179.96731182795702,16736.960000000003,15.098924731182796,11.481720430107526,03a988adf,166.36049831591524
56,193.1264285714286,10815.080000000002,15.246428571428572,12.064285714285717,03ad2a35c,103.0560400442786
48,242.06833333333336,11619.280000000002,17.6375,12.925000000000002,03cae970d,114.78359249371513
30,317.6893333333334,9530.680000000002,19.433333333333334,14.886666666666668,03d831c0d,90.78333844243284
30,354.21466666666674,10626.440000000002,21.44666666666667,15.566666666666668,03dd40d7b,105.52730490391859
115,214.46747826086963,24663.76000000001,17.248695652173915,11.737391304347828,041707ba8,245.26360481097646
51,144.41882352941178,7365.3600000000015,13.615686274509804,10.48235294117647,04201d2d6,74.50820591675073
60,243.3866666666667,14603.200000000004,18.40333333333333,12.27,0424c00e4,142.90092455875512
27,233.37629629629637,6301.160000000002,16.8962962962963,12.962962962962964,0429c9ff6,63.4844906223873
34,296.8105882352942,10091.56,21.894117647058827,12.805882352941175,0435654cd,105.35309461230581
56,307.82857142857154,17238.400000000005,20.835714285714285,14.039285714285716,043a957ca,171.1632312140799
76,191.7268421052632,14571.240000000003,16.792105263157897,10.681578947368422,044078e70,145.76775905345374
